date,year,month,quarter,day_of_week,is_weekend,is_holiday,covers,gross_revenue,cogs,gross_profit,labour_cost,fixed_ops_cost,operating_profit,gp_margin_pct
2015-01-25,2015,1,1,Sun,True,False,28,1760.0,574.51,1185.49,646.85,166.99,371.65,67.4
2015-01-26,2015,1,1,Mon,False,False,15,493.5,154.94,338.56,626.85,155.25,-443.54,68.6
2015-01-27,2015,1,1,Tue,False,False,10,369.5,117.71,251.79,413.25,161.91,-323.37,68.1
2015-01-28,2015,1,1,Wed,False,False,12,557.5,181.22,376.28,601.85,164.0,-389.57,67.5
2015-01-29,2015,1,1,Thu,False,False,16,588.5,187.46,401.04,626.85,152.54,-378.35,68.1
2015-01-30,2015,1,1,Fri,False,False,18,608.5,186.57,421.93,626.85,163.03,-367.95,69.3
2015-01-31,2015,1,1,Sat,True,False,31,1369.5,436.85,932.65,671.85,162.8,98.0,68.1
2015-02-01,2015,2,1,Sun,True,False,34,1168.0,362.32,805.68,671.85,158.38,-24.55,69.0
2015-02-02,2015,2,1,Mon,False,False,13,447.0,136.51,310.49,601.85,160.62,-451.98,69.5
2015-02-03,2015,2,1,Tue,False,False,14,612.0,190.92,421.08,601.85,157.05,-337.82,68.8
2015-02-04,2015,2,1,Wed,False,False,15,643.0,203.3,439.7,626.85,152.74,-339.89,68.4
2015-02-05,2015,2,1,Thu,False,False,15,652.5,204.51,447.99,626.85,152.95,-331.81,68.7
2015-02-06,2015,2,1,Fri,False,False,20,684.5,214.07,470.43,626.85,157.98,-314.4,68.7
2015-02-07,2015,2,1,Sat,True,False,37,1250.0,398.11,851.89,671.85,163.93,16.11,68.2
2015-02-08,2015,2,1,Sun,True,False,28,952.5,302.06,650.44,646.85,160.13,-156.54,68.3
2015-02-09,2015,2,1,Mon,False,False,11,674.5,227.07,447.43,601.85,159.67,-314.09,66.3
2015-02-10,2015,2,1,Tue,False,False,11,341.0,99.49,241.51,601.85,157.58,-517.92,70.8
2015-02-11,2015,2,1,Wed,False,False,12,448.5,143.39,305.11,601.85,157.81,-454.55,68.0
2015-02-12,2015,2,1,Thu,False,False,16,913.0,286.31,626.69,626.85,157.82,-157.98,68.6
2015-02-13,2015,2,1,Fri,False,False,19,797.0,245.92,551.08,626.85,157.01,-232.78,69.1
2015-02-14,2015,2,1,Sat,True,True,49,2298.0,753.91,1544.09,671.85,165.16,707.08,67.2
2015-02-15,2015,2,1,Sun,True,False,26,1228.5,382.23,846.27,646.85,158.72,40.7,68.9
2015-02-16,2015,2,1,Mon,False,False,14,401.5,127.56,273.94,601.85,158.2,-486.11,68.2
2015-02-17,2015,2,1,Tue,False,False,14,654.0,208.23,445.77,601.85,166.44,-322.52,68.2
2015-02-18,2015,2,1,Wed,False,False,13,414.0,128.75,285.25,601.85,157.6,-474.2,68.9
2015-02-19,2015,2,1,Thu,False,False,12,594.0,186.9,407.1,601.85,154.46,-349.21,68.5
2015-02-20,2015,2,1,Fri,False,False,18,616.5,196.41,420.09,626.85,164.09,-370.85,68.1
2015-02-21,2015,2,1,Sat,True,False,33,1338.0,420.75,917.25,671.85,167.93,77.47,68.6
2015-02-22,2015,2,1,Sun,True,False,30,1345.5,426.37,919.13,671.85,155.03,92.25,68.3
2015-02-23,2015,2,1,Mon,False,False,15,478.5,153.58,324.92,626.85,158.74,-460.67,67.9
2015-02-24,2015,2,1,Tue,False,False,11,489.5,160.07,329.43,601.85,161.08,-433.5,67.3
2015-02-25,2015,2,1,Wed,False,False,14,744.5,237.99,506.51,601.85,153.56,-248.9,68.0
2015-02-26,2015,2,1,Thu,False,False,17,565.5,178.76,386.74,626.85,154.68,-394.79,68.4
2015-02-27,2015,2,1,Fri,False,False,19,868.0,283.57,584.43,626.85,164.77,-207.19,67.3
2015-02-28,2015,2,1,Sat,True,False,31,1146.5,374.76,771.74,671.85,165.77,-65.88,67.3
2015-03-01,2015,3,1,Sun,True,False,31,1027.5,313.81,713.69,671.85,172.33,-130.49,69.5
2015-03-02,2015,3,1,Mon,False,False,16,628.0,196.57,431.43,626.85,158.71,-354.13,68.7
2015-03-03,2015,3,1,Tue,False,False,13,639.0,210.48,428.52,601.85,159.57,-332.9,67.1
2015-03-04,2015,3,1,Wed,False,False,14,716.0,230.4,485.6,601.85,155.63,-271.88,67.8
2015-03-05,2015,3,1,Thu,False,False,15,832.5,276.7,555.8,626.85,172.06,-243.11,66.8
2015-03-06,2015,3,1,Fri,False,False,24,856.0,274.4,581.6,626.85,168.86,-214.11,67.9
2015-03-07,2015,3,1,Sat,True,False,39,1646.0,514.36,1131.64,671.85,163.95,295.84,68.8
2015-03-08,2015,3,1,Sun,True,False,32,1478.0,452.24,1025.76,671.85,165.47,188.44,69.4
2015-03-09,2015,3,1,Mon,False,False,14,529.5,174.94,354.56,601.85,155.04,-402.33,67.0
2015-03-10,2015,3,1,Tue,False,False,15,618.5,197.9,420.6,626.85,157.63,-363.88,68.0
2015-03-11,2015,3,1,Wed,False,False,14,433.0,137.97,295.03,601.85,163.93,-470.75,68.1
2015-03-12,2015,3,1,Thu,False,False,17,714.0,232.14,481.86,626.85,155.39,-300.38,67.5
2015-03-13,2015,3,1,Fri,False,False,22,949.0,302.07,646.93,626.85,153.4,-133.32,68.2
2015-03-14,2015,3,1,Sat,True,False,40,1736.0,547.91,1188.09,671.85,164.47,351.77,68.4
2015-03-15,2015,3,1,Sun,True,False,33,1598.5,509.75,1088.75,671.85,166.58,250.32,68.1
2015-03-16,2015,3,1,Mon,False,False,13,480.5,155.14,325.36,601.85,153.99,-430.48,67.7
2015-03-17,2015,3,1,Tue,False,False,12,504.5,158.33,346.17,601.85,157.11,-412.79,68.6
2015-03-18,2015,3,1,Wed,False,False,17,782.5,254.48,528.02,626.85,157.14,-255.97,67.5
2015-03-19,2015,3,1,Thu,False,False,20,667.5,209.44,458.06,626.85,157.5,-326.29,68.6
2015-03-20,2015,3,1,Fri,False,False,20,722.5,224.36,498.14,626.85,163.05,-291.76,68.9
2015-03-21,2015,3,1,Sat,True,False,37,1581.0,514.5,1066.5,671.85,170.58,224.07,67.5
2015-03-22,2015,3,1,Sun,True,False,31,1030.0,327.09,702.91,671.85,163.29,-132.23,68.2
2015-03-23,2015,3,1,Mon,False,False,15,390.5,121.3,269.2,626.85,155.19,-512.84,68.9
2015-03-24,2015,3,1,Tue,False,False,13,447.5,143.01,304.49,601.85,156.31,-453.67,68.0
2015-03-25,2015,3,1,Wed,False,False,14,534.5,166.87,367.63,601.85,155.18,-389.4,68.8
2015-03-26,2015,3,1,Thu,False,False,16,632.0,200.45,431.55,626.85,158.88,-354.18,68.3
2015-03-27,2015,3,1,Fri,False,False,22,823.0,253.64,569.36,626.85,157.58,-215.07,69.2
2015-03-28,2015,3,1,Sat,True,False,39,1623.0,505.91,1117.09,671.85,170.47,274.77,68.8
2015-03-29,2015,3,1,Sun,True,False,35,1358.0,433.44,924.56,671.85,170.12,82.59,68.1
2015-03-30,2015,3,1,Mon,False,False,14,816.0,268.8,547.2,601.85,161.01,-215.66,67.1
2015-03-31,2015,3,1,Tue,False,False,14,588.5,185.2,403.3,601.85,153.98,-352.53,68.5
2015-04-01,2015,4,2,Wed,False,False,19,638.0,197.95,440.05,626.85,160.92,-347.72,69.0
2015-04-02,2015,4,2,Thu,False,False,19,848.5,262.86,585.64,626.85,155.56,-196.77,69.0
2015-04-03,2015,4,2,Fri,False,False,22,1240.0,389.53,850.47,626.85,162.18,61.44,68.6
2015-04-04,2015,4,2,Sat,True,False,44,1648.5,524.88,1123.62,671.85,159.46,292.31,68.2
2015-04-05,2015,4,2,Sun,True,False,39,1518.5,475.23,1043.27,671.85,157.65,213.77,68.7
2015-04-06,2015,4,2,Mon,False,False,13,565.5,178.98,386.52,601.85,157.12,-372.45,68.4
2015-04-07,2015,4,2,Tue,False,False,14,627.0,198.67,428.33,601.85,161.04,-334.56,68.3
2015-04-08,2015,4,2,Wed,False,False,19,613.0,184.57,428.43,626.85,162.8,-361.22,69.9
2015-04-09,2015,4,2,Thu,False,False,19,695.5,213.48,482.02,626.85,157.83,-302.66,69.3
2015-04-10,2015,4,2,Fri,False,False,25,919.0,286.08,632.92,626.85,165.15,-159.08,68.9
2015-04-11,2015,4,2,Sat,True,False,43,1722.0,564.8,1157.2,671.85,163.12,322.23,67.2
2015-04-12,2015,4,2,Sun,True,False,37,1678.0,520.5,1157.5,671.85,168.04,317.61,69.0
2015-04-13,2015,4,2,Mon,False,False,15,390.5,115.13,275.37,626.85,168.0,-519.48,70.5
2015-04-14,2015,4,2,Tue,False,False,18,736.0,240.45,495.55,626.85,158.86,-290.16,67.3
2015-04-15,2015,4,2,Wed,False,False,15,552.5,174.71,377.79,626.85,160.91,-409.97,68.4
2015-04-16,2015,4,2,Thu,False,False,18,437.5,127.31,310.19,626.85,158.2,-474.86,70.9
2015-04-17,2015,4,2,Fri,False,False,26,1196.0,387.31,808.69,626.85,162.01,19.83,67.6
2015-04-18,2015,4,2,Sat,True,False,33,1197.0,381.11,815.89,671.85,161.19,-17.15,68.2
2015-04-19,2015,4,2,Sun,True,False,37,1491.5,482.78,1008.72,671.85,169.67,167.2,67.6
2015-04-20,2015,4,2,Mon,False,False,16,441.5,137.09,304.41,626.85,164.66,-487.1,68.9
2015-04-21,2015,4,2,Tue,False,False,16,796.5,251.15,545.35,626.85,152.62,-234.12,68.5
2015-04-22,2015,4,2,Wed,False,False,21,793.5,250.4,543.1,626.85,160.39,-244.14,68.4
2015-04-23,2015,4,2,Thu,False,False,17,712.5,228.68,483.82,626.85,158.28,-301.31,67.9
2015-04-24,2015,4,2,Fri,False,False,27,863.0,272.47,590.53,626.85,159.32,-195.64,68.4
2015-04-25,2015,4,2,Sat,True,False,38,1754.0,562.07,1191.93,671.85,152.72,367.36,68.0
2015-04-26,2015,4,2,Sun,True,False,32,1353.0,399.63,953.37,671.85,168.15,113.37,70.5
2015-04-27,2015,4,2,Mon,False,False,16,845.0,264.14,580.86,626.85,155.24,-201.23,68.7
2015-04-28,2015,4,2,Tue,False,False,16,708.0,225.76,482.24,626.85,156.77,-301.38,68.1
2015-04-29,2015,4,2,Wed,False,False,17,559.5,178.88,380.62,626.85,156.45,-402.68,68.0
2015-04-30,2015,4,2,Thu,False,False,20,820.0,266.72,553.28,626.85,159.72,-233.29,67.5
2015-05-01,2015,5,2,Fri,False,False,25,869.0,273.24,595.76,626.85,155.89,-186.98,68.6
2015-05-02,2015,5,2,Sat,True,False,47,1620.5,496.89,1123.61,671.85,168.86,282.9,69.3
2015-05-03,2015,5,2,Sun,True,False,38,1659.0,513.65,1145.35,671.85,158.21,315.29,69.0
2015-05-04,2015,5,2,Mon,False,False,17,666.0,214.87,451.13,626.85,151.7,-327.42,67.7
2015-05-05,2015,5,2,Tue,False,False,15,657.5,220.66,436.84,626.85,163.99,-354.0,66.4
2015-05-06,2015,5,2,Wed,False,False,19,550.5,174.49,376.01,626.85,159.52,-410.36,68.3
2015-05-07,2015,5,2,Thu,False,False,22,985.0,302.49,682.51,626.85,163.67,-108.01,69.3
2015-05-08,2015,5,2,Fri,False,False,21,511.5,156.19,355.31,626.85,165.62,-437.16,69.5
2015-05-09,2015,5,2,Sat,True,False,39,1367.0,430.19,936.81,671.85,159.23,105.73,68.5
2015-05-10,2015,5,2,Sun,True,True,51,2053.5,624.71,1428.79,671.85,163.76,593.18,69.6
2015-05-11,2015,5,2,Mon,False,False,16,833.5,258.82,574.68,626.85,152.19,-204.36,68.9
2015-05-12,2015,5,2,Tue,False,False,16,728.0,231.29,496.71,626.85,159.01,-289.15,68.2
2015-05-13,2015,5,2,Wed,False,False,18,741.5,233.14,508.36,626.85,155.01,-273.5,68.6
2015-05-14,2015,5,2,Thu,False,False,16,753.5,242.17,511.33,626.85,157.92,-273.44,67.9
2015-05-15,2015,5,2,Fri,False,False,28,1145.0,366.81,778.19,626.85,160.85,-9.51,68.0
2015-05-16,2015,5,2,Sat,True,False,37,1507.5,471.43,1036.07,671.85,162.81,201.41,68.7
2015-05-17,2015,5,2,Sun,True,False,40,1566.0,499.23,1066.77,671.85,163.95,230.97,68.1
2015-05-18,2015,5,2,Mon,False,False,18,701.5,218.79,482.71,626.85,170.11,-314.25,68.8
2015-05-19,2015,5,2,Tue,False,False,15,541.0,172.6,368.4,626.85,158.76,-417.21,68.1
2015-05-20,2015,5,2,Wed,False,False,19,867.5,282.43,585.07,626.85,164.89,-206.67,67.4
2015-05-21,2015,5,2,Thu,False,False,21,922.0,293.63,628.37,626.85,161.95,-160.43,68.2
2015-05-22,2015,5,2,Fri,False,False,25,819.5,249.33,570.17,626.85,162.21,-218.89,69.6
2015-05-23,2015,5,2,Sat,True,False,45,1698.0,545.07,1152.93,671.85,166.43,314.65,67.9
2015-05-24,2015,5,2,Sun,True,False,39,1882.5,604.87,1277.63,671.85,173.43,432.35,67.9
2015-05-25,2015,5,2,Mon,False,False,17,468.5,147.3,321.2,626.85,160.55,-466.2,68.6
2015-05-26,2015,5,2,Tue,False,False,14,755.5,235.26,520.24,601.85,166.04,-247.65,68.9
2015-05-27,2015,5,2,Wed,False,False,17,509.5,159.51,349.99,626.85,155.96,-432.82,68.7
2015-05-28,2015,5,2,Thu,False,False,19,644.0,184.96,459.04,626.85,148.85,-316.66,71.3
2015-05-29,2015,5,2,Fri,False,False,25,1115.0,346.59,768.41,626.85,163.29,-21.73,68.9
2015-05-30,2015,5,2,Sat,True,False,41,2010.5,636.45,1374.05,671.85,168.64,533.56,68.3
2015-05-31,2015,5,2,Sun,True,False,38,1923.5,602.45,1321.05,671.85,166.54,482.66,68.7
2015-06-01,2015,6,2,Mon,False,False,20,1103.5,358.76,744.74,626.85,156.52,-38.63,67.5
2015-06-02,2015,6,2,Tue,False,False,15,586.0,186.93,399.07,626.85,155.51,-383.29,68.1
2015-06-03,2015,6,2,Wed,False,False,20,644.5,197.38,447.12,626.85,157.42,-337.15,69.4
2015-06-04,2015,6,2,Thu,False,False,21,758.5,239.58,518.92,626.85,160.29,-268.22,68.4
2015-06-05,2015,6,2,Fri,False,False,30,1115.5,361.62,753.88,639.35,154.47,-39.94,67.6
2015-06-06,2015,6,2,Sat,True,False,38,1430.0,440.94,989.06,671.85,157.56,159.65,69.2
2015-06-07,2015,6,2,Sun,True,False,39,1689.5,531.96,1157.54,671.85,168.87,316.82,68.5
2015-06-08,2015,6,2,Mon,False,False,19,747.0,241.65,505.35,626.85,160.68,-282.18,67.7
2015-06-09,2015,6,2,Tue,False,False,18,889.0,274.29,614.71,626.85,158.5,-170.64,69.1
2015-06-10,2015,6,2,Wed,False,False,19,865.0,272.69,592.31,626.85,156.99,-191.53,68.5
2015-06-11,2015,6,2,Thu,False,False,20,715.0,236.57,478.43,626.85,154.89,-303.31,66.9
2015-06-12,2015,6,2,Fri,False,False,25,859.5,271.1,588.4,626.85,153.83,-192.28,68.5
2015-06-13,2015,6,2,Sat,True,False,49,1548.5,475.85,1072.65,671.85,163.04,237.76,69.3
2015-06-14,2015,6,2,Sun,True,False,47,1659.5,532.44,1127.06,671.85,167.43,287.78,67.9
2015-06-15,2015,6,2,Mon,False,False,17,784.0,238.53,545.47,626.85,170.84,-252.22,69.6
2015-06-16,2015,6,2,Tue,False,False,17,731.0,233.46,497.54,626.85,164.48,-293.79,68.1
2015-06-17,2015,6,2,Wed,False,False,21,838.0,267.14,570.86,626.85,171.0,-226.99,68.1
2015-06-18,2015,6,2,Thu,False,False,19,761.0,233.23,527.77,626.85,159.13,-258.21,69.4
2015-06-19,2015,6,2,Fri,False,False,30,1278.5,416.54,861.96,639.35,166.35,56.26,67.4
2015-06-20,2015,6,2,Sat,True,False,41,1755.0,554.42,1200.58,671.85,168.2,360.53,68.4
2015-06-21,2015,6,2,Sun,True,False,46,1876.0,590.26,1285.74,671.85,181.28,432.61,68.5
2015-06-22,2015,6,2,Mon,False,False,16,535.5,176.15,359.35,626.85,162.13,-429.63,67.1
2015-06-23,2015,6,2,Tue,False,False,15,533.0,162.81,370.19,626.85,157.81,-414.47,69.5
2015-06-24,2015,6,2,Wed,False,False,18,780.0,247.97,532.03,626.85,162.68,-257.5,68.2
2015-06-25,2015,6,2,Thu,False,False,22,1154.0,377.1,776.9,626.85,164.87,-14.82,67.3
2015-06-26,2015,6,2,Fri,False,False,28,1269.5,388.58,880.92,626.85,160.51,93.56,69.4
2015-06-27,2015,6,2,Sat,True,False,42,1677.0,529.33,1147.67,671.85,159.33,316.49,68.4
2015-06-28,2015,6,2,Sun,True,False,42,2004.5,642.56,1361.94,671.85,174.92,515.17,67.9
2015-06-29,2015,6,2,Mon,False,False,18,738.0,235.54,502.46,626.85,168.6,-292.99,68.1
2015-06-30,2015,6,2,Tue,False,False,19,665.0,207.85,457.15,626.85,155.84,-325.54,68.7
2015-07-01,2015,7,3,Wed,False,False,19,780.0,248.8,531.2,626.85,165.63,-261.28,68.1
2015-07-02,2015,7,3,Thu,False,False,22,846.0,255.39,590.61,626.85,158.67,-194.91,69.8
2015-07-03,2015,7,3,Fri,False,False,30,1141.5,371.28,770.22,639.35,168.93,-38.06,67.5
2015-07-04,2015,7,3,Sat,True,True,64,2796.5,873.39,1923.11,671.85,173.5,1077.76,68.8
2015-07-05,2015,7,3,Sun,True,False,40,1778.5,557.95,1220.55,671.85,163.35,385.35,68.6
2015-07-06,2015,7,3,Mon,False,False,18,807.0,262.19,544.81,626.85,162.69,-244.73,67.5
2015-07-07,2015,7,3,Tue,False,False,16,984.0,313.87,670.13,626.85,154.78,-111.5,68.1
2015-07-08,2015,7,3,Wed,False,False,21,954.5,297.9,656.6,626.85,156.83,-127.08,68.8
2015-07-09,2015,7,3,Thu,False,False,24,970.0,311.87,658.13,626.85,163.59,-132.31,67.8
2015-07-10,2015,7,3,Fri,False,False,28,1302.5,408.06,894.44,626.85,159.28,108.31,68.7
2015-07-11,2015,7,3,Sat,True,False,44,1947.5,633.94,1313.56,671.85,176.53,465.18,67.4
2015-07-12,2015,7,3,Sun,True,False,47,2144.0,681.67,1462.33,671.85,169.13,621.35,68.2
2015-07-13,2015,7,3,Mon,False,False,22,1002.5,315.17,687.33,626.85,165.7,-105.22,68.6
2015-07-14,2015,7,3,Tue,False,False,15,506.5,170.37,336.13,626.85,149.49,-440.21,66.4
2015-07-15,2015,7,3,Wed,False,False,17,756.5,251.26,505.24,626.85,164.68,-286.29,66.8
2015-07-16,2015,7,3,Thu,False,False,17,542.5,161.66,380.84,626.85,161.21,-407.22,70.2
2015-07-17,2015,7,3,Fri,False,False,26,1203.5,383.74,819.76,626.85,155.18,37.73,68.1
2015-07-18,2015,7,3,Sat,True,False,41,1471.0,453.08,1017.92,671.85,173.07,173.0,69.2
2015-07-19,2015,7,3,Sun,True,False,44,1929.0,615.88,1313.12,671.85,168.76,472.51,68.1
2015-07-20,2015,7,3,Mon,False,False,21,993.5,315.37,678.13,626.85,166.47,-115.19,68.3
2015-07-21,2015,7,3,Tue,False,False,16,620.0,202.29,417.71,626.85,162.21,-371.35,67.4
2015-07-22,2015,7,3,Wed,False,False,19,888.0,283.73,604.27,626.85,156.86,-179.44,68.0
2015-07-23,2015,7,3,Thu,False,False,25,616.5,185.91,430.59,626.85,167.06,-363.32,69.8
2015-07-24,2015,7,3,Fri,False,False,25,1035.0,330.56,704.44,626.85,162.97,-85.38,68.1
2015-07-25,2015,7,3,Sat,True,False,46,1630.5,506.55,1123.95,671.85,173.7,278.4,68.9
2015-07-26,2015,7,3,Sun,True,False,39,1591.0,503.8,1087.2,671.85,159.41,255.94,68.3
2015-07-27,2015,7,3,Mon,False,False,17,1005.5,318.64,686.86,626.85,158.59,-98.58,68.3
2015-07-28,2015,7,3,Tue,False,False,16,653.0,207.85,445.15,626.85,154.48,-336.18,68.2
2015-07-29,2015,7,3,Wed,False,False,19,754.0,234.06,519.94,626.85,161.74,-268.65,69.0
2015-07-30,2015,7,3,Thu,False,False,20,892.5,283.94,608.56,626.85,167.29,-185.58,68.2
2015-07-31,2015,7,3,Fri,False,False,28,1164.5,366.0,798.5,626.85,168.28,3.37,68.6
2015-08-01,2015,8,3,Sat,True,False,45,1687.5,542.12,1145.38,671.85,165.15,308.38,67.9
2015-08-02,2015,8,3,Sun,True,False,39,1552.5,486.2,1066.3,671.85,169.67,224.78,68.7
2015-08-03,2015,8,3,Mon,False,False,20,808.0,254.14,553.86,626.85,165.14,-238.13,68.5
2015-08-04,2015,8,3,Tue,False,False,15,553.0,184.65,368.35,626.85,149.96,-408.46,66.6
2015-08-05,2015,8,3,Wed,False,False,15,414.0,130.72,283.28,626.85,153.13,-496.7,68.4
2015-08-06,2015,8,3,Thu,False,False,19,702.0,223.0,479.0,626.85,154.91,-302.76,68.2
2015-08-07,2015,8,3,Fri,False,False,30,1007.0,310.32,696.68,639.35,162.98,-105.65,69.2
2015-08-08,2015,8,3,Sat,True,False,46,1921.5,609.2,1312.3,671.85,163.38,477.07,68.3
2015-08-09,2015,8,3,Sun,True,False,37,1467.0,469.4,997.6,671.85,161.22,164.53,68.0
2015-08-10,2015,8,3,Mon,False,False,20,1016.0,312.18,703.82,626.85,167.34,-90.37,69.3
2015-08-11,2015,8,3,Tue,False,False,18,717.5,224.01,493.49,626.85,166.48,-299.84,68.8
2015-08-12,2015,8,3,Wed,False,False,16,445.0,130.65,314.35,626.85,157.76,-470.26,70.6
2015-08-13,2015,8,3,Thu,False,False,21,929.0,281.09,647.91,626.85,159.68,-138.62,69.7
2015-08-14,2015,8,3,Fri,False,False,23,971.5,304.98,666.52,626.85,157.93,-118.26,68.6
2015-08-15,2015,8,3,Sat,True,False,41,1715.0,542.96,1172.04,671.85,159.91,340.28,68.3
2015-08-16,2015,8,3,Sun,True,False,37,1814.0,564.47,1249.53,671.85,168.45,409.23,68.9
2015-08-17,2015,8,3,Mon,False,False,17,529.5,164.16,365.34,626.85,160.9,-422.41,69.0
2015-08-18,2015,8,3,Tue,False,False,18,590.5,188.41,402.09,626.85,160.27,-385.03,68.1
2015-08-19,2015,8,3,Wed,False,False,16,726.0,229.74,496.26,626.85,164.18,-294.77,68.4
2015-08-20,2015,8,3,Thu,False,False,20,830.0,268.26,561.74,626.85,155.6,-220.71,67.7
2015-08-21,2015,8,3,Fri,False,False,29,1349.5,431.11,918.39,626.85,156.13,135.41,68.1
2015-08-22,2015,8,3,Sat,True,False,45,2103.0,661.34,1441.66,671.85,175.47,594.34,68.6
2015-08-23,2015,8,3,Sun,True,False,45,1809.0,565.89,1243.11,671.85,169.26,402.0,68.7
2015-08-24,2015,8,3,Mon,False,False,14,457.5,147.86,309.64,601.85,165.5,-457.71,67.7
2015-08-25,2015,8,3,Tue,False,False,19,662.0,204.11,457.89,626.85,155.35,-324.31,69.2
2015-08-26,2015,8,3,Wed,False,False,19,714.5,225.81,488.69,626.85,164.1,-302.26,68.4
2015-08-27,2015,8,3,Thu,False,False,21,838.0,266.58,571.42,626.85,162.07,-217.5,68.2
2015-08-28,2015,8,3,Fri,False,False,22,859.5,272.0,587.5,626.85,159.07,-198.42,68.4
2015-08-29,2015,8,3,Sat,True,False,38,1725.0,539.78,1185.22,671.85,163.66,349.71,68.7
2015-08-30,2015,8,3,Sun,True,False,33,1348.0,434.25,913.75,671.85,164.99,76.91,67.8
2015-08-31,2015,8,3,Mon,False,False,18,734.0,230.57,503.43,626.85,162.34,-285.76,68.6
2015-09-01,2015,9,3,Tue,False,False,16,862.0,280.12,581.88,626.85,162.39,-207.36,67.5
2015-09-02,2015,9,3,Wed,False,False,17,823.5,248.81,574.69,626.85,158.14,-210.3,69.8
2015-09-03,2015,9,3,Thu,False,False,15,587.0,194.89,392.11,626.85,159.33,-394.07,66.8
2015-09-04,2015,9,3,Fri,False,False,27,1198.5,380.62,817.88,626.85,166.81,24.22,68.2
2015-09-05,2015,9,3,Sat,True,False,37,1285.0,397.29,887.71,671.85,155.83,60.03,69.1
2015-09-06,2015,9,3,Sun,True,False,33,1192.5,395.79,796.71,671.85,170.33,-45.47,66.8
2015-09-07,2015,9,3,Mon,False,False,17,497.5,160.14,337.36,626.85,158.13,-447.62,67.8
2015-09-08,2015,9,3,Tue,False,False,18,572.5,176.62,395.88,626.85,161.05,-392.02,69.1
2015-09-09,2015,9,3,Wed,False,False,15,421.5,143.68,277.82,626.85,156.53,-505.56,65.9
2015-09-10,2015,9,3,Thu,False,False,20,637.0,201.8,435.2,626.85,154.49,-346.14,68.3
2015-09-11,2015,9,3,Fri,False,False,24,877.5,278.03,599.47,626.85,163.28,-190.66,68.3
2015-09-12,2015,9,3,Sat,True,False,40,1695.5,548.98,1146.52,671.85,170.92,303.75,67.6
2015-09-13,2015,9,3,Sun,True,False,46,1995.5,644.63,1350.87,671.85,167.54,511.48,67.7
2015-09-14,2015,9,3,Mon,False,False,17,723.5,233.75,489.75,626.85,151.78,-288.88,67.7
2015-09-15,2015,9,3,Tue,False,False,16,815.5,260.67,554.83,626.85,157.19,-229.21,68.0
2015-09-16,2015,9,3,Wed,False,False,15,509.0,163.94,345.06,626.85,156.08,-437.87,67.8
